Company,Time,Debt1,Debt2,Equity1,Equity2,FL,OL,SL,LL,Q,CF,CA,Cycle,Cycle*Q,Cycle*CF,Cycle*CA,ROA,SCALE
600388.SH,20030630,-0.035495103,0.0457571506,0.0002664609,0.0033616339,-0.03576239,0.0815195404,0.046024437,-0.000267286,,0.0104416689,0.2823302816,0,,0,0,0.0077871304,7.1475111976
600388.SH,20030930,0.0570444417,0.1470996757,0.0003712216,0.0077512774,0.058913375,0.0881863007,0.141296643,0.0058030327,,0.049759119,0.3565478246,0,,0,0,0.0147385527,7.2914824884
600388.SH,20031231,0.009197783,0.0832158175,0.0003673663,0.0150981267,0.0092712971,0.0739445885,0.078032492,0.0051833936,,0.0211748635,0.3803260103,1,,0.0211748635,0.3803260103,0.0272289124,7.3852587142
600388.SH,20040331,0.0068236317,0.0973299253,-0.000115133,0.00394195,0.0068962103,0.090433653,0.0972572847,0.0000725786,,-0.10068678,0.3733643755,0,,0,0,0.003942012,7.4817245327
600388.SH,20040630,-0.097166692,0.0249365783,0.0004741735,0.0021762523,-0.098761691,0.1236982691,0.0490629836,-0.024126405,,0.0426004691,0.3365347271,0,,0,0,0.0148727564,7.508476267
600388.SH,20040930,0.0255013483,0.1243359092,0.0015292034,0.0032992164,0.025403456,0.0989324532,0.1258048417,-0.001468933,,0.0367664181,0.4341908916,1,,0.0367664181,0.4341908916,0.0163116495,7.6285988976
600388.SH,20041231,-0.040123198,-0.112019398,0.0027598438,0.0115483318,-0.040301151,-0.071718247,-0.111841445,-0.000177952,,0.0152130145,0.41141914,1,,0.0152130145,0.41141914,0.0248964201,7.5227148385
600388.SH,20050331,0.0140572317,0.0345482963,0.0000800722,0.0033510818,0.014402499,0.0201457973,0.034203029,0.0003452672,,-0.092276157,0.474366746,0,,0,0,0.0033511359,7.5599136803
600388.SH,20050630,0.0031255212,0.0611527506,0.0002080555,-0.001378928,0.0028301595,0.0583225911,0.0614481123,-0.000295362,,0.003823398,0.4621124315,0,,0,0,0.0122989782,7.6179691908
600388.SH,20050930,-0.01007655,0.0543326119,-0.000130307,0.0024182738,-0.010181002,0.0645136143,0.0544370639,-0.000104452,,-0.019552686,0.4638773858,0,,0,0,0.0140235597,7.6731681894
600388.SH,20051231,0.0023837588,0.0825534649,0.0008825601,0.0111011679,0.0025720948,0.0799813701,0.0543985695,0.0281548954,,-0.033171031,0.4959865005,1,,-0.033171031,0.4959865005,0.0234087742,7.7626931514
600388.SH,20060331,0.0204148615,0.0693964512,-0.000365809,0.0041129566,0.0204343406,0.0489621531,0.0566177261,0.0127787676,,-0.023703908,0.4869832929,0,,0,0,0.0041129566,7.8336262534
600388.SH,20060630,0.0526927647,0.1215834041,-0.000922718,-0.002353069,0.0527159416,0.0688674229,0.1215601876,0.0000231769,,-0.017263418,0.5781542454,0,,0,0,0.0128142861,7.9462675374
600388.SH,20060930,0.0141150601,0.0372075011,0.0001541941,0.0077267664,0.014098246,0.0231092198,0.026649029,0.0105584368,,-0.016352078,0.5085990816,0,,0,0,0.0192338366,7.9902214512
600388.SH,20061231,-0.071735076,-0.071441507,-0.000591846,0.0375316579,-0.070894852,-0.000546655,-0.031630644,-0.039810863,,0.0662111012,0.4181397887,1,,0.0662111012,0.4181397887,0.0486891955,7.9557233608
600388.SH,20070331,0.0318243891,-0.000755229,0.0010378524,0.0020674296,0.0321330659,-0.032888225,-0.001063836,0.0003086768,,-0.038167253,0.4180207904,0,,0,0,0.0052571479,7.9570347363
600388.SH,20070630,0.0065135337,0.0772898713,0.0000329879,-0.010147805,0.0066052835,0.0706845528,0.0386771881,0.0386126481,,0.0540684582,0.439204077,0,,0,0,0.0168200452,8.0220188121
600388.SH,20070930,-0.019558149,0.0462687399,0.0003121428,0.0079777231,-0.019490319,0.0657590592,0.0462009099,0.00006783,,0.034846912,0.4247913849,1,,0.034846912,0.4247913849,0.0236284429,8.0748450708
600388.SH,20071231,0.0263024408,0.0468488182,0.0349386994,0.0552588758,0.0388909447,0.0079578735,0.0529366037,-0.006087786,,-0.088648377,0.4994661071,1,,-0.088648377,0.4994661071,0.0397855078,8.1720695027
600388.SH,20080331,0.0257013953,0.0925036712,-0.009308311,-0.003906273,0.0221808125,0.0703228587,0.096024254,-0.003520583,,-0.003468135,0.5244897864,0,,0,0,0.0056156419,8.2569596054
600388.SH,20080630,-0.046570667,0.0147572196,-0.006257411,0.0042164485,-0.048742832,0.0635000256,0.0169293585,-0.002172165,,0.0777511946,0.4671390498,1,,0.0777511946,0.4671390498,0.0161014125,8.2757554675
600388.SH,20080930,-0.043539273,0.0451347459,-0.00504554,-0.010291793,-0.044949895,0.0900846663,0.0465453929,-0.001410622,,0.0313161444,0.5211547654,1,,0.0313161444,0.5211547654,0.0248795375,8.3100051709
600388.SH,20081231,0.0024604277,0.0042515945,0.0023764287,0.0221828472,0.0016338716,0.0026177229,0.0050781506,-0.000826556,,0.0027489867,0.5516231934,1,,0.0027489867,0.5516231934,0.0449735184,8.3360962844
600388.SH,20090331,0.0179779698,0.055433296,0.0058696393,-0.004843649,0.0189158206,0.0365174755,0.0664807585,-0.011047462,,-0.044500245,0.5317122159,0,,0,0,0.0073393264,8.3854478372
600388.SH,20090630,-0.026238809,-0.067533743,0.1506661611,0.1718789832,-0.023941658,-0.043592085,-0.069830894,0.0022971507,,-0.035768242,0.4559986697,0,,0,0,0.0290332192,8.4847004538
600388.SH,20090930,-0.008264211,-0.00501119,-0.00207159,0.0095356393,-0.00729453,0.0022833396,-0.005980872,0.0009696812,,-0.012181489,0.4281898109,0,,0,0,0.0383342871,8.4892146982
600388.SH,20091231,0.0028408408,-0.015525397,0.0044125042,0.0204574354,0.00053895,-0.016064347,-0.013130068,-0.002395329,,0.0601464643,0.4459519761,1,,0.0601464643,0.4459519761,0.0548283126,8.4941346141
600388.SH,20100331,0,0.0210725845,-0.002063169,0.0052349289,0.0001694833,0.0209031012,0.0209031012,0.0001694833,,-0.06135094,0.4604917796,0,,0,0,0.0074054863,8.5201020566
600388.SH,20100630,-0.00042905,0.0296947761,-0.007003538,-0.013042745,-0.001540632,0.0312354081,0.031221728,-0.001526952,,0.0461838219,0.4462220306,0,,0,0,0.0223612195,8.536616943
600388.SH,20100930,0.0235383282,0.0281054896,-0.001053595,0.0106799476,0.0236272442,0.0044782258,0.0044782258,0.0236272442,,-0.071084005,0.4805056056,1,,-0.071084005,0.4805056056,0.0340477994,8.574669106
600388.SH,20101231,0.0088844387,0.0672592584,6.1369401E-6,0.011225823,0.0080432248,0.0592160337,0.0676213756,-0.000362117,,0.0752364497,0.4788060491,1,,0.0752364497,0.4788060491,0.0435799411,8.65022646
600388.SH,20110331,0.0090442165,0.0128790463,0.0025943545,0.0087819534,0.0096247181,0.0032543632,0.0070459639,0.0058331174,,-0.074234081,0.4654002843,0,,0,0,0.0060549704,8.6716562282
